Date,ClosePrice
2019-10-15,1142.05
2019-10-16,1137.04
2019-10-17,1137.75
2019-10-20,1133.72
2019-10-21,1132.4
2019-10-22,1134.8
2019-10-23,1142.6
2019-10-24,1149.34
2019-10-31,1146.17
2019-11-03,1139.29
2019-11-04,1140.26
2019-11-05,1139.46
2019-11-06,1138.02
2019-11-07,1131.97
2019-11-10,1131.8
2019-11-11,1145.57
2019-11-12,1139.96
2019-11-13,1135.16
2019-11-14,1135.95
2019-11-17,1131.36
2019-11-18,1131.13
2019-11-19,1129.99
2019-11-20,1128.34
2019-11-21,1120.6
2019-11-24,1110.08
2019-11-25,1110.08
2019-11-26,1109.17
2019-11-27,1117.46
2019-11-28,1112.79
2019-12-01,1112.86
2019-12-02,1111.99
2019-12-03,1115.75
2019-12-04,1124.47
2019-12-05,1131.92
2019-12-08,1135.38
2019-12-09,1148.89
2019-12-10,1151.37
2019-12-11,1161.48
2019-12-12,1172.65
2019-12-15,1167.87
2019-12-16,1154.12
2019-12-17,1155.38
2019-12-18,1152.07
2019-12-19,1149.65
2019-12-22,1150.82
2019-12-23,1168.58
2019-12-24,1166.22
2019-12-25,1168.04
2019-12-26,1167.42
2019-12-29,1162.43
2019-12-30,1167.96
2019-12-31,1166.04
2020-01-01,1169.5
2020-01-02,1166.22
2020-01-05,1182.31
2020-01-06,1200.7
2020-01-07,1216.93
2020-01-08,1209.6
2020-01-09,1213.12
2020-01-12,1255.72
2020-01-13,1270.87
2020-01-14,1263.38
2020-01-15,1284.23
2020-01-16,1310.23
2020-01-19,1343.66
2020-01-20,1317.12
2020-01-21,1320.47
2020-01-22,1313.42
2020-01-23,1297.48
2020-01-26,1276.68
2020-01-27,1300.63
2020-01-28,1306.15
2020-01-29,1305.88
2020-01-30,1325.39
2020-02-02,1346.65
2020-02-03,1349.14
2020-02-04,1337.05
2020-02-05,1342.36
2020-02-06,1333.69
2020-02-09,1319.99
2020-02-10,1324.27
2020-02-11,1341.38
2020-02-12,1345.98
2020-02-13,1344.59
2020-02-16,1363.98
2020-02-17,1398.24
2020-02-18,1400.01
2020-02-19,1405.26
2020-02-20,1434.58
2020-02-23,1504.14
2020-02-24,1502.18
2020-02-25,1545.2
2020-02-26,1596.13
2020-02-27,1632.18
2020-03-01,1591.36
2020-03-02,1495.3
2020-03-03,1509.68
2020-03-04,1441.2
2020-03-05,1435.7
2020-03-10,1349.32
2020-03-11,1423.09
2020-03-12,1377.18
2020-03-15,1313.04
2020-03-16,1316.4
2020-03-17,1272.07
2020-03-18,1255.8
2020-03-19,1269.31
2020-03-22,1251.46
2020-05-12,1226.16
2020-05-13,1201.58
2020-06-29,1196.35
2020-06-30,1260.76
2020-07-01,1336.53
2020-07-02,1256.11
2020-07-05,1265.46
2020-07-06,1298.73
2020-07-07,1336.67
2020-07-08,1326.54
2020-07-12,1340.29
2020-07-13,1342.41
2020-07-14,1347.45
2020-07-16,1394.77
2020-07-19,1479.03
2020-07-20,1464.94
2020-07-21,1449.95
2020-07-22,1432.45
2020-07-23,1442.62
2020-07-26,1465.11
2020-07-27,1462.48
2020-07-28,1454.89
2020-07-29,1431.53
2020-07-30,1439.06
2020-08-02,1396.28
2020-08-03,1403.87
2020-08-05,1382.67
2020-08-06,1381.38
2020-08-09,1392.68
2020-08-10,1430.42
2020-08-11,1423.81
2020-08-12,1425.32
2020-08-13,1408.79
2020-08-16,1391.46
2020-08-17,1402.22
2020-08-18,1407.9
2020-08-19,1391.3
2020-08-20,1397.57
2020-08-23,1410.34
2020-08-24,1431.61
2020-08-25,1440.94
2020-08-26,1462.04
2020-08-27,1458.04
2020-08-31,1484.99
2020-09-02,1510.57
2020-09-03,1510.42
2020-09-06,1499.98
2020-09-07,1487.81
2020-09-08,1495.16
2020-09-09,1508.21
2020-09-10,1520.69
2020-09-13,1537.25
2020-09-14,1540.51
2020-09-15,1536.04
2020-09-16,1541.4
2020-09-17,1572.19
2020-09-20,1575.18
2020-09-21,1569.06
2020-09-22,1546.16
2020-09-23,1555.53
2020-09-24,1561.27
2020-09-27,1565.56
2020-09-28,1560.83
2020-09-29,1553.62
2020-09-30,1550.43
2020-10-01,1571.04
2020-10-04,1585.76
2020-10-05,1582.13
2020-10-06,1586.29
2020-10-07,1600.98
